Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Mon May 10 2021,10:00p,Utah Jazz,,Golden State Warriors,,,,,
Mon May 10 2021,10:00p,Houston Rockets,,Portland Trail Blazers,,,,,
Tue May 11 2021,7:00p,Miami Heat,,Boston Celtics,,,,,
Tue May 11 2021,7:00p,Denver Nuggets,,Charlotte Hornets,,,,,
Tue May 11 2021,7:00p,Minnesota Timberwolves,,Detroit Pistons,,,,,
Tue May 11 2021,7:30p,Los Angeles Clippers,,Toronto Raptors,,,,,
Tue May 11 2021,8:00p,Brooklyn Nets,,Chicago Bulls,,,,,
Tue May 11 2021,8:00p,Philadelphia 76ers,,Indiana Pacers,,,,,
Tue May 11 2021,8:00p,Dallas Mavericks,,Memphis Grizzlies,,,,,
Tue May 11 2021,9:00p,Orlando Magic,,Milwaukee Bucks,,,,,
Tue May 11 2021,10:00p,Phoenix Suns,,Golden State Warriors,,,,,
Tue May 11 2021,10:00p,Oklahoma City Thunder,,Sacramento Kings,,,,,
Tue May 11 2021,10:30p,New York Knicks,,Los Angeles Lakers,,,,,
Wed May 12 2021,7:30p,Washington Wizards,,Atlanta Hawks,,,,,
Wed May 12 2021,8:00p,San Antonio Spurs,,Brooklyn Nets,,,,,
Wed May 12 2021,8:00p,Boston Celtics,,Cleveland Cavaliers,,,,,
Wed May 12 2021,9:00p,New Orleans Pelicans,,Dallas Mavericks,,,,,
Wed May 12 2021,9:00p,Portland Trail Blazers,,Utah Jazz,,,,,
Wed May 12 2021,10:30p,Houston Rockets,,Los Angeles Lakers,,,,,
Thu May 13 2021,7:00p,Los Angeles Clippers,,Charlotte Hornets,,,,,
Thu May 13 2021,7:00p,Milwaukee Bucks,,Indiana Pacers,,,,,
Thu May 13 2021,7:30p,Orlando Magic,,Atlanta Hawks,,,,,
Thu May 13 2021,7:30p,Philadelphia 76ers,,Miami Heat,,,,,
Thu May 13 2021,7:30p,San Antonio Spurs,,New York Knicks,,,,,
Thu May 13 2021,8:00p,Toronto Raptors,,Chicago Bulls,,,,,
Thu May 13 2021,8:00p,Sacramento Kings,,Memphis Grizzlies,,,,,
Thu May 13 2021,8:00p,Denver Nuggets,,Minnesota Timberwolves,,,,,
Thu May 13 2021,10:00p,Portland Trail Blazers,,Phoenix Suns,,,,,
Fri May 14 2021,7:00p,Cleveland Cavaliers,,Washington Wizards,,,,,
Fri May 14 2021,8:00p,Denver Nuggets,,Detroit Pistons,,,,,
Fri May 14 2021,8:00p,Utah Jazz,,Oklahoma City Thunder,,,,,
